a_num,b_link,c_title,d_dateUK,e_dateISO,f_image,g_alt,h_desc,i_page
347,https://www.chronicle.com/blogs/linguafranca/2018/09/05/merriam-webster-heal-thyself/,Merriam-Webster, Heal Thyself!,5 Sep 2018,2019-09-05,http://chronicle-brightspot.s3.amazonaws.com/c1/7c/cfb8fd4750171771c04b6866eac9/merriam.jpg,merriam-webster,Is it “a number of X are” or “a number of X is”? It depends. Geoff Pullum discovers that Merriam-Webster’s Concise Dictionary of English Usage will not help you decide.,https://www.chronicle.com/blogs/linguafranca?p=8
346,https://www.chronicle.com/blogs/linguafranca/2018/08/26/the-perennial-difficulty-of-defining-what-descriptive-means-in-grammar/,The Perennial Difficulty of Defining What ‘Descriptive’ Means in Grammar,26 Aug 2018,2019-08-26,http://chronicle-brightspot.s3.amazonaws.com/40/4b/4a3b262a56ad7eebaf34ca337aff/grandmaster-contemporary-summerhouse-m01.jpg,summerhouse,Geoff Pullum is locked in an intractable dispute with a colleague about whether so-called descriptive work on English grammar is in fact prescriptivism in sheep’s clothing.,https://www.chronicle.com/blogs/linguafranca?p=8
345,https://www.chronicle.com/blogs/linguafranca/2018/08/21/chinese-among-high-school-seniors-and-in-the-movies/,Chinese Among High-School Seniors (and in the Movies),21 Aug 2018,2019-08-21,http://chronicle-brightspot.s3.amazonaws.com/40/95/d6ac922e2fc9fe56c3df1e31c040/statham-and-bingbing.png,jason statham,Mandarin is overtaking German among college-bound high-school seniors. Geoff Pullum reflects on what that might mean, and what the job prospects are.,https://www.chronicle.com/blogs/linguafranca?p=9
344,https://www.chronicle.com/blogs/linguafranca/2018/08/16/learning-useless-english-grammar-in-japan/,Learning Useless English Grammar in Japan,16 Aug 2018,2019-08-16,http://chronicle-brightspot.s3.amazonaws.com/ca/da/6750fe166c968748b74e7751204d/teachingenglishinjapan.jpg,japan blackboard,A teacher of English sends Geoff Pullum some puzzling exam questions on an arcane corner of grammar. Japanese students are not just drilled on such sentences, he finds, but examined on them in crucial university admission tests.,https://www.chronicle.com/blogs/linguafranca?p=9
343,https://www.chronicle.com/blogs/linguafranca/2018/08/06/avoiding-false-titles-how-some-news-publications-try-not-to-sound-like-other-news-publications/,Avoiding ‘False Titles’: How Some News Publications Try Not to Sound Like News Publications,6 Aug 2018,2019-08-06,http://chronicle-brightspot.s3.amazonaws.com/41/6d/aa0f5ef9752edba8f130b64b73f1/da-vinci-code-e6e178b8-5c1b-11e7-ad31-8e588690cd15.jpg,tom hanks,Geoff Pullum enlists Lane Greene of The Economist to explain why the magazine insists on using explanatory phrases, as in “Uber, a ride-hailing company,” instead.,https://www.chronicle.com/blogs/linguafranca?p=10
342,https://www.chronicle.com/blogs/linguafranca/2018/08/01/the-grammar-of-the-adjective-is-not-whats-wrong-with-illegal-alien/,The Grammar of the Adjective Is Not What’s Wrong With ‘Illegal Alien’,1 Aug 2018,2019-08-01,http://chronicle-brightspot.s3.amazonaws.com/6f/82/82fd3e3bd878e7cad11525ee51d4/melanija-knavs.jpg,illegal alien,The Justice Department’s order that undocumented people should be called illegal aliens smacks of Newspeak but is linguistically unobjectionable. What’s nasty is the attitude behind it.,https://www.chronicle.com/blogs/linguafranca?p=10
341,https://www.chronicle.com/blogs/linguafranca/2018/07/25/whats-an-anti-semite-it-depends-on-which-politician-you-ask/,What’s an Anti-Semite? It Depends on Which Politician You Ask,25 Jul 2018,2019-07-25,http://chronicle-brightspot.s3.amazonaws.com/9f/00/5850b40e3a6cce12e830a519c7b2/gettyimages-98894080.jpg,Margaret Hodge,Can lexicography help solve political disputes about who is or isn’t anti-Semitic? Geoff Pullum doesn’t think so.,https://www.chronicle.com/blogs/linguafranca?p=10
340,https://www.chronicle.com/blogs/linguafranca/2018/07/17/writing-on-philosophy-its-not-rocket-science-its-more-complicated-than-that/,Writing on Philosophy: It’s Not Rocket Science. It’s More Complicated Than That.,17 Jul 2018,2019-07-17,http://chronicle-brightspot.s3.amazonaws.com/68/b8/835faf17d45926c0f8cf7129b875/philosphy-of-language.jpg,philosphy,Geoff Pullum tackles a perfectly formed yet extraordinarily complex and demanding sentence from a recent text. Can he wrestle it into simpler form?,https://www.chronicle.com/blogs/linguafranca?p=11
339,https://www.chronicle.com/blogs/linguafranca/2018/07/12/friendly-communication-across-supposed-language-barriers/,Friendly Communication Across Supposed Language Barriers,12 Jul 2018,2019-07-12,http://chronicle-brightspot.s3.amazonaws.com/4d/65/93f938e7aae0d8c5a87f3eb59f29/centralmosque.jpg,ed mosque,A conversation in a neighborhood shop reminds Geoff Pullum that despite the hostility between India and Pakistan, spoken Hindi and Urdu are almost identical.,https://www.chronicle.com/blogs/linguafranca?p=11
338,https://www.chronicle.com/blogs/linguafranca/2018/07/02/the-triumph-and-tragedy-of-oscar-wilde/,The Triumph and Tragedy of Oscar Wilde,2 Jul 2018,2019-07-02,http://chronicle-brightspot.s3.amazonaws.com/33/10/2cab5b264228a4639568c653f635/oscar-wilde-2.jpg,oscar wilde,A London performance of An Ideal Husband prompts Geoff Pullum to reflect on all that has changed, 120 years too late for the playwright, since its debut.,https://www.chronicle.com/blogs/linguafranca?p=12
